"product_title","location","account_seller","price","review","installment","rating","brand_hp"
"iPhone 6 Plus 16gb new","Jakarta","Jimmylion",3700000,21,154167,5,"apple"
"Realme 3 PRO 6/128 Ram 6Gb Rom 128Gb Garansi Resmi","Bandung","love garagesale",3899000,88,162459,4.9,"realme"
"Samsung Galaxy A6 Plus / A6+ GARANSI RESMI SEIN","Jakarta","Cellular Mas",2405000,723,100209,4.9,"samsung"
"XIAOMI REDMI NOTE 5A GARANSI RESMI TAM SEGEL BNIB BUKAN DISTRIBUTOR","Bandar Lampung","JRTOKO",1589999,100,66250,5,"xiaomi"
"OPPO A5s 2GB/32GB - Red (Garansi Resmi)","Jakarta","-SPECIALIST STORE-",1999999,72,83334,5,"oppo"
"Samsung Fast Charging Battery Pack 10,000 mAh (Micro USB)","Jakarta","Samsung Mobile Indonesia",249000,72,10375,4.9,"samsung"
"Samsung Galaxy J2 Prime SEGEL NEW SEIN","Surabaya","NoS.Store",1250000,147,52084,5,"samsung"
"XIAOMI REDMI 6A - RAM 2GB - ROM 16GB - TAM - BAYAR DI TEMPAT","Malang","Platinumcell grosir",1188000,50,49500,4.9,"xiaomi"
"IPHONE 7 32 GB GARANSI DISTRIBUTOR 1 TAHUN","Jakarta","GoodCell",3250000,67,135417,4.7,"apple"
"vivo y91 2/32","Jakarta","Aneka99",2e+06,37,83334,5,"vivo"
"Huawei Mate9 4/64GB Brown mocca Limited , Like new BNOB , Langkah","Jakarta","MbahHape",4950000,13,206250,5,"huawei"
"VIVO V11 PRO RAM 6 GB / 64 GB Display Fingerprint - GARANSI RESMI","Jakarta","MW Tech",5e+06,24,208334,4.9,"vivo"
"Xiaomi redmi 4A","Jakarta","Jimmylion",1500000,13,62500,5,"xiaomi"
"OPPO F7 Smartphone 4GB/64GB Black (Garansi Resmi OPPO Indonesia)","Tangerang","OPPO OFFICIAL STORE",2799000,133,116625,4.9,"oppo"
"Google pixel Xl 32 Gb second","Jakarta","WT Teknologi",1870000,97,77917,4.8,"google pixel"
"ASUS ZENFONE 4 MAX ZC520KL","Jambi","TOKO_AVEIRO",1500000,121,62500,5,"asus"
"XIAOMI REDMI 6A -GARANSI RESMI TAM 1THN-","Jakarta","Luckseven Shop",1190000,111,49584,5,"xiaomi"
"Oppo Realme C2 3/32","Pekalongan","ADY SAFIRA 2",1999000,34,83292,5,"oppo"
"Iphone 7 Plus 32 gb","Bogor","Zutto_ID",5e+06,111,208334,5,"apple"
"Xiaomi Redmi 6A TAM","Malang","Lana2store",1205000,69,50209,5,"xiaomi"
"Google pixel 128Gb second fullset","Jakarta","WT Teknologi",1800000,65,75000,4.6,"google pixel"
"ASUS ZENFONE MAX PRO M1 3/32GB ZB602KL GARANSI RESMI - Hitam","Jakarta","VISTAR518",1620000,79,67500,4.9,"asus"
"SAMSUNG GALAXY J2 PRIME","Jakarta","Surya82 shop",1115000,78,46459,4.8,"samsung"
"XIAOMI MI 8 (6/128)","Jakarta","Karin Cellular",5150000,106,214584,5,"xiaomi"
"XIAOMI REDMI 6A GARANSI TAM SEGEL","Bandung","DAVID RW",1189000,72,49542,5,"xiaomi"
"Oppo F11 Pro Ram 6/64gb Garansi Resmi Oppo","Tangerang","hzpediashop",4800000,109,2e+05,4.9,"oppo"
"Oppo A7 Ram 4/64 garansi resmi oppo","Jakarta","Regine Gadget",2600000,76,108334,5,"oppo"
"Oppo A37 2/16GB","Jakarta","Gratefull Store Online",979999,36,40834,4.5,"oppo"
"VIVO Y91 2019 2gb/32gb","Kediri","WIRAFONE KEDIRI",1580000,34,65834,4.9,"vivo"
"xiaomi redmi 6a TAM New Ori","Jakarta","Holy Express Store",1188000,72,49500,5,"xiaomi"
"Dompet Headset Kartun/Dompet Koin Karakter - PRINTING PERSEGI PANJANG","Jakarta","Kelontong Unik",34900,96,1455,4.9,"lain-lain"
"Sharp SH04H Ram 3gb 32gb Mulus Bekas","Jakarta","Boboy Store",750000,216,31250,4.6,"sharp"
"Sony Xperia XZ Softbank Bukan DOCOMO","Jakarta","Alice Cellular",1250000,61,52084,4.7,"sony"
"VIVO V15 RAM 6 GB INTERNAL 64 GB","Jakarta","lion ponselindo",3600000,61,150000,4.9,"vivo"
"Samsung Galaxy J4 Plus / J4+ 2/32 RAM 2GB ROM 32GB GARANSI RESMI SEIN","Jakarta","Cellular Mas",1550000,540,64584,4.9,"samsung"
"Xiaomi Redmi 6A 2/16GB Black","Jakarta","ERAFONE",1259000,50,52459,4.9,"xiaomi"
"OPPO A3S RAM 2 INTERNAL 16GB","Jakarta","lion ponselindo",1699000,71,70792,5,"oppo"
"XIAOMI REDMI NOTE 4X 3/32GB","Jakarta","wonderfullstore97",1230000,38,51250,4.8,"xiaomi"
"Samsung A30","Jakarta","Dunia788",3e+06,64,125000,5,"samsung"
"Xiaomi Redmi 6A grs TAM","Surabaya","Jarindo Gadget",1190000,49,49584,4.9,"xiaomi"
"Samsung Galaxy M10 Smartphone 16GB/2GB - Ocean Blue [Garansi Resmi]","Jakarta","KartuPerdana",1488000,43,62000,4.8,"samsung"
"Oppo F11 Pro Grs Resmi","Jakarta","Dunia788",4599000,74,191625,5,"oppo"
"Sony Xperia Z5 Compact","Kab. Tangerang","Five star cellular",610000,290,25417,4.6,"sony"
"Samsung A10 new garansi resmi sein Ram 2gb internal 32Gb warna random","Jakarta","vanilla mobile new",1505000,40,62709,4.9,"samsung"
"Samsung J7 Duo 3/32 Ram 3gb Rom 32gb Garansi Resmi Samsung Indonesia","Jakarta","Maxi phone cell",1700000,528,70834,4.9,"samsung"
"HP XIAOMI 6A BARU GARANSI DISTRIBUTOR ORI ASLI ORIGINAL BUKAN TAM","Bandar Lampung","JRTOKO",1195000,63,49792,5,"xiaomi"
"Samsung Galaxy M10 2/16 RAM 2GB ROM 16GB GARANSI RESMI SEIN","Jakarta","Cellular Mas",1480000,199,61667,4.9,"samsung"
"XIAOMI REDMI GO GARANSI RESMI (1/8GB)","Jakarta","Karin Cellular",1e+06,105,41667,5,"xiaomi"
"Xiaomi Redmi 6A TAM 2/16","Kab. Bekasi","NahKanMurah Shop",1185000,50,49375,4.9,"xiaomi"
"Dompet Headset Kartun/ Dompet Koin Karakter - PRINTING PERSEGI","Jakarta","Kelontong Unik",29900,70,1246,4.9,"lain-lain"
"Sony Xperia Z5 Big AU Original Mulus..","Tangerang","Asia ponsel88",945000,315,39375,4.6,"sony"
"REDMI 5 PLUS 3/32 TERMURAH RESMI TAM","Jakarta","mitra jaya cell1",2025000,892,84375,5,"xiaomi"
"Redmi 6A garansi TAM","Semarang","Cellya Cell",1181000,76,49209,4.9,"xiaomi"
"Redmi 6A TAM","Kab. Demak","Toko online Demak",1190000,36,49584,5,"xiaomi"
"POCOPHONE F1 6/128 GARANSI TAM - BLUE","Jakarta","Asgard Accs",5e+06,57,208334,4.6,"xiaomi"
"Xiaomi Redmi Note 7 3/32 Ram 3gb Rom 32gb Garansi Resmi","Jakarta","Maxi phone cell",2145000,40,89375,5,"xiaomi"
"XIAOMI REDMI S2 3/32 GARANSI RESMI TAM","Jakarta","Imobile cell",1975000,75,82292,5,"xiaomi"
"VIVO Y95","Jakarta","Bintang Ponsell",2099000,42,87459,5,"vivo"
"XIAOMI REDMI 5","Jakarta","Sky Trader",2e+06,48,83334,5,"xiaomi"
"samsung a50 4/64 new grs resmi","Jakarta","arena phone cell",3420000,41,142500,4.9,"samsung"
"Xiomi Redmi 5a 2/16 Tam","Jakarta","Maxi phone cell",1250000,483,52084,4.9,"xiaomi"
"Samsung Galaxy A7 2018 (4/64 GB) - Blue","Jakarta","centralphone73",3250000,403,135417,5,"samsung"
"XIAOMI REDMI NOTE 6 PRO 4/64GB GARANSI RESMI TAM","Jakarta","ArthaOnline",2550000,50,106250,4.9,"xiaomi"
"SAMSUNG S7 EDGE 32GB MULUS LENGKAP BAYANGG","Jakarta","CahayaNoviCell",1900000,141,79167,4.9,"samsung"
"Samsung Galaxy M20 (3GB/32GB) - Charcoal Black","Jakarta","Samsung Mobile Indonesia",2620000,28,109167,4.9,"samsung"
"REDMI 5 3/32 GARANSI RESMI TAM","Jakarta","mitra jaya cell1",1975000,392,82292,5,"xiaomi"
"samsung A10 2/32GB","Kab. Sukoharjo","toni all shoop",2e+06,101,83334,4.9,"samsung"
"Samsung Galaxy A6+ / A6 Plus 2018 Ram 4/32GB Garansi Resmi","Jakarta","Supplier Sparepart HP",2450000,311,102084,4.9,"samsung"
"Xiaomi Redmi 6a 2/16 Ram 2gb Rom 16gb Garansi Resmi TAM","Jakarta","Kreasindo Official",1210000,145,50417,4.8,"xiaomi"
"Samsung A50 4/64 Resmi","Tegal","TrenSelular",3425000,55,142709,5,"samsung"
"redmi 6a 2/16","Semarang","duamancellular",1189999,49,49584,5,"xiaomi"
"Samsung Galaxy M20 3/32 Ram 3gb Rom 32gb Garansi Resmi","Jakarta","Maxi phone cell",2225000,232,92709,4.9,"samsung"
"XIAOMI REDMI NOTE 7 RAM 4/64 GB CAMERA 12 MP ROM GLOBAL","Jakarta","duniagadgetku",2315000,40,96459,4.9,"xiaomi"
"Xiaomi Redmi 6A 2/16 Garansi Resmi TAM","Semarang","your home partner",1187000,33,49459,5,"xiaomi"
"HUAWEI P30 Lite","Jakarta","kayarasa22",3975000,34,165625,5,"huawei"
"xiaomi mi 5c 3/64 geransi distributor 1thn","Jakarta","Royal Starphone",1650000,57,68750,5,"xiaomi"
"XIAOMI REDMI NOTE 4 3/64 GARANSI DISTRIBUTOR THE ONE","Jakarta","iphonemishop",1200000,295,50000,4.5,"xiaomi"
"Oppo F9 RAM 4 INTERNAL 64 GARANSI RESMI 1 TAHUN","Surabaya","trenz celluler",3060000,276,127500,4.8,"oppo"
"Realme 3 ram 3/32 garansi resmi oppo.","Kab. Karawang","acelin online",1810000,37,75417,4.9,"realme"
"Xiaomi Redmi 6A RAM 2GB ROM 16GB GARANSI RESMI TAM","Jakarta","Supplier Sparepart HP",1195000,255,49792,4.8,"xiaomi"
"Redmi 6A TAM","Surakarta","Droid Cell Murah",1199000,36,49959,4.9,"xiaomi"
"Xiaomi Redmi 6 Ram 4GB/64GB Resmi TAM","Jakarta","akoy.login",1980000,382,82500,5,"xiaomi"
"Samsung Galaxy J2 Prime 4G lte","Kab. Sragen","AMMA cell",1139900,618,47496,5,"samsung"
"Xiaomi Redmi 6A Ram 2GB/16GB Resmi TAM","Jakarta","akoy.login",1299000,320,54125,5,"xiaomi"
"Xiaomi Redmi Note 7 4/64 RAM 4GB ROM 64GB GARANSI RESMI TAM","Jakarta","Cellular Mas",2575000,752,107292,4.9,"xiaomi"
"Xiaomi redmi 6a tam segel asli","Bandar Lampung","91cellular",1200000,41,50000,5,"xiaomi"
"HP NOKIA 5.1 PLUS RAM 3GB ROM 32GB GARANSI RESMI","Depok","NOKIA official storre",1739000,72,72459,4.9,"nokia"
"Xiaomi Redmi S2 Ram 3GB/32GB Resmi TAM","Jakarta","akoy.login",1980000,272,82500,5,"xiaomi"
"Samsung Galaxy J2 Pro - RAM 2GB / ROM 32GB Garansi Resmi 1 Tahun 2/32","Jakarta","ucell cempaka",1750000,269,72917,4.9,"samsung"
"XIAOMI MI A1 4/64 GARANSI RESMI","Jakarta","KEDAI HP",1625000,1107,67709,4.8,"xiaomi"
"Hp Samsung J7 Plus New Garansi Resmi Original Asli","Bandar Lampung","JRTOKO",4699900,37,195830,5,"samsung"
"iPhone 6s 16gb new","Jakarta","Jimmylion",3350000,11,139584,5,"apple"
"Xiaomi Redmi 6A TAM","Semarang","friaa",1194900,29,49788,4.9,"xiaomi"
"LG G5 ram 4/32 spec keren Fullset original hp dan acc","Jakarta","Topgadget2000",1350000,139,56250,4.8,"lg"
"SAMSUNG GALAXY M10 RAM 2 GB INTERNLA 16 GB - GARANSI RESMI","Magelang","vickersson",1535000,23,63959,5,"samsung"
"Samsung Galaxy A10 Smartphone 32GB/ 2GB - Blue [Garansi Resmi]","Jakarta","KartuPerdana",1487000,23,61959,4.8,"samsung"
"Oppo A5s 3/32 Resmi","Jakarta","Oke Oce Shopp",2100000,50,87500,5,"oppo"
"samsung a30 4/64 new grs resmi sein","Jakarta","arena phone cell",2765000,41,115209,4.8,"samsung"
"Realme C2 ram 3 rom 32 gb","Jakarta","ALL_SHOPE99",1510000,35,62917,5,"realme"
